2018-10-20 00:19:52 startup archives unpack
2018-10-20 00:19:52 install libgdbm3:amd64 <none> 1.8.3-14
2018-10-20 00:19:52 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:52 status half-installed libgdbm3:amd64 1.8.3-14
2018-10-20 00:19:52 status unpacked libgdbm3:amd64 1.8.3-14
2018-10-20 00:19:52 status unpacked libgdbm3:amd64 1.8.3-14
2018-10-20 00:19:52 install libssl1.1:amd64 <none> 1.1.0f-3+deb9u2
2018-10-20 00:19:52 status half-installed libssl1.1:amd64 1.1.0f-3+deb9u2
2018-10-20 00:19:52 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u2
2018-10-20 00:19:52 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u2
2018-10-20 00:19:52 install libgmp10:amd64 <none> 2:6.1.2+dfsg-1
2018-10-20 00:19:52 status half-installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-10-20 00:19:52 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-10-20 00:19:52 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-10-20 00:19:53 install libnettle6:amd64 <none> 3.3-1+b2
2018-10-20 00:19:53 status half-installed libnettle6:amd64 3.3-1+b2
2018-10-20 00:19:53 status unpacked libnettle6:amd64 3.3-1+b2
2018-10-20 00:19:53 status unpacked libnettle6:amd64 3.3-1+b2
2018-10-20 00:19:53 install libhogweed4:amd64 <none> 3.3-1+b2
2018-10-20 00:19:53 status half-installed libhogweed4:amd64 3.3-1+b2
2018-10-20 00:19:53 status unpacked libhogweed4:amd64 3.3-1+b2
2018-10-20 00:19:53 status unpacked libhogweed4:amd64 3.3-1+b2
2018-10-20 00:19:53 install libidn11:amd64 <none> 1.33-1
2018-10-20 00:19:53 status half-installed libidn11:amd64 1.33-1
2018-10-20 00:19:53 status unpacked libidn11:amd64 1.33-1
2018-10-20 00:19:53 status unpacked libidn11:amd64 1.33-1
2018-10-20 00:19:53 install libffi6:amd64 <none> 3.2.1-6
2018-10-20 00:19:53 status half-installed libffi6:amd64 3.2.1-6
2018-10-20 00:19:53 status unpacked libffi6:amd64 3.2.1-6
2018-10-20 00:19:53 status unpacked libffi6:amd64 3.2.1-6
2018-10-20 00:19:53 install libp11-kit0:amd64 <none> 0.23.3-2
2018-10-20 00:19:53 status half-installed libp11-kit0:amd64 0.23.3-2
2018-10-20 00:19:53 status unpacked libp11-kit0:amd64 0.23.3-2
2018-10-20 00:19:53 status unpacked libp11-kit0:amd64 0.23.3-2
2018-10-20 00:19:53 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2018-10-20 00:19:53 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2018-10-20 00:19:53 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-10-20 00:19:53 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-10-20 00:19:53 install libgnutls30:amd64 <none> 3.5.8-5+deb9u3
2018-10-20 00:19:53 status half-installed libgnutls30:amd64 3.5.8-5+deb9u3
2018-10-20 00:19:53 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-10-20 00:19:53 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-10-20 00:19:53 install libsasl2-modules-db:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-10-20 00:19:53 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:53 install libapr1:amd64 <none> 1.5.2-5
2018-10-20 00:19:53 status half-installed libapr1:amd64 1.5.2-5
2018-10-20 00:19:53 status unpacked libapr1:amd64 1.5.2-5
2018-10-20 00:19:53 status unpacked libapr1:amd64 1.5.2-5
2018-10-20 00:19:53 install libc-dev-bin:amd64 <none> 2.24-11+deb9u3
2018-10-20 00:19:53 status half-installed libc-dev-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:53 status unpacked libc-dev-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:53 status unpacked libc-dev-bin:amd64 2.24-11+deb9u3
2018-10-20 00:19:53 install linux-libc-dev:amd64 <none> 4.9.110-3+deb9u6
2018-10-20 00:19:53 status half-installed linux-libc-dev:amd64 4.9.110-3+deb9u6
2018-10-20 00:19:53 status unpacked linux-libc-dev:amd64 4.9.110-3+deb9u6
2018-10-20 00:19:53 status unpacked linux-libc-dev:amd64 4.9.110-3+deb9u6
2018-10-20 00:19:53 install libc6-dev:amd64 <none> 2.24-11+deb9u3
2018-10-20 00:19:53 status half-installed libc6-dev:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 status unpacked libc6-dev:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 status unpacked libc6-dev:amd64 2.24-11+deb9u3
2018-10-20 00:19:54 install uuid-dev:amd64 <none> 2.29.2-1+deb9u1
2018-10-20 00:19:54 status half-installed uuid-dev:amd64 2.29.2-1+deb9u1
2018-10-20 00:19:54 status unpacked uuid-dev:amd64 2.29.2-1+deb9u1
2018-10-20 00:19:54 status unpacked uuid-dev:amd64 2.29.2-1+deb9u1
2018-10-20 00:19:54 install libsctp1:amd64 <none> 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status half-installed libsctp1:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status unpacked libsctp1:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status unpacked libsctp1:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 install libsctp-dev:amd64 <none> 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status half-installed libsctp-dev:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status unpacked libsctp-dev:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 status unpacked libsctp-dev:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:54 install libapr1-dev:amd64 <none> 1.5.2-5
2018-10-20 00:19:54 status half-installed libapr1-dev:amd64 1.5.2-5
2018-10-20 00:19:54 status unpacked libapr1-dev:amd64 1.5.2-5
2018-10-20 00:19:54 status unpacked libapr1-dev:amd64 1.5.2-5
2018-10-20 00:19:54 install libexpat1:amd64 <none> 2.2.0-2+deb9u1
2018-10-20 00:19:54 status half-installed libexpat1:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 status unpacked libexpat1:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:54 install libaprutil1:amd64 <none> 1.5.4-3
2018-10-20 00:19:54 status half-installed libaprutil1:amd64 1.5.4-3
